"","V1","V2","V3","V4","V5","V6"
"Pear1",0.0653210999635032,-1.37451141247341,-0.728436546886395,-1.76299372476193,-4.20358670251987,-6.71049539228299
"Dok3",-0.0224441191593578,-1.17109067460502,-1.38846131320483,-2.29120456519786,-4.02293614230343,-4.51304814863592
"Tiam2",0.0045748024972383,-0.609822985438099,-1.01802464660741,-2.28683347325164,-4.42999909982739,-4.91770904155327
"Ckm",-0.21666069198475,-0.770518055886649,-1.42297244200025,-1.34825952442918,-3.72104384750578,-5.74425936087133
"Nav2",-0.168233716213686,-0.00120988298903146,-0.244808539304794,-2.00269550838326,-4.74649305710872,-5.73134024832814
"Zbtb16",0.255929322451084,-0.702036371233867,-0.983482232442939,-1.46413040235235,-4.16281830618433,-5.79226918092168
"Pdlim4",-2.16388972517882,-0.335040369097731,-0.635101938249441,-2.96865584386174,-3.71968360278335,-2.93185842730136
"Tyrobp",-0.225468237056347,-0.582085413048031,-0.778932441694507,-1.43740393299654,-3.95746725525964,-5.55909293009386
"Fos",-2.768591951468,-2.56117500891199,-2.01621708789118,-1.8736700458091,-1.60336754914134,-1.65823435369518
"Alox5",-0.178501624887488,-0.859988312578123,-1.35943695742743,-1.62105046995446,-4.22232900920379,-4.20785636051392
"Slc9a3r2",-0.542331342094968,-0.647725109410471,-1.53584616835401,-1.99061572879432,-3.41620660813662,-4.31018287151927
"Trim2",-0.213387540194009,-1.4118173499065,-1.45757352922195,-2.28965441284031,-3.35932585479628,-3.44515560770618
"Fam71b",0.256274648452795,-0.842194591746264,-0.728588863581455,-2.15261693965022,-4.12008692462367,-4.02455991125433
"2010300C02Rik",0.380977471494203,-1.03418037663515,-1.20090108766692,-1.94827545078997,-3.39819780377841,-4.40828071415732
"Col9a3",-0.080677056798141,-0.455800024972927,-0.352827170030644,-1.35386994420042,-3.73690814917779,-5.5972941068697
"Clu",0.398624410983211,-0.557583170988276,-0.889931307422484,-1.53541266659608,-4.00594128451299,-4.81219353487145
