"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tb927.11.370",1.6927737300156e-14,-0.936356874151105,0.129,0.362,1.51469393361796e-10
"Tb927.11.16670",1.73935554639698e-14,-0.602108278026357,0.132,0.378,1.55637534291602e-10
"Tb927.3.5590",1.74257293824935e-14,-1.4441416212129,0.043,0.227,1.55925426514551e-10
"Tb927.11.11350",1.75105535640744e-14,-1.11652638910319,0.08,0.286,1.56684433291338e-10
"Tb927.7.6820",1.7827632171239e-14,-0.779837282338412,0.146,0.389,1.59521652668246e-10
"Tb927.7.1770",1.79815814176338e-14,-1.66236478888247,0.043,0.223,1.60899190524987e-10
"Tb927.3.2630",1.82574723246385e-14,-1.20020198857183,0.083,0.287,1.63367862360866e-10
"Tb927.11.3730",1.83385591034079e-14,-0.918622301488045,0.117,0.343,1.64093426857294e-10
"Tb927.10.14720",1.8366626476796e-14,-1.45682483114968,0.052,0.237,1.64344573714371e-10
"Tb927.9.15070",1.84042372137944e-14,-1.11149053829285,0.049,0.237,1.64681114589032e-10
"Tb927.5.3200",1.8434193279786e-14,-1.48993598021893,0.037,0.216,1.64949161467525e-10
"Tb927.10.10620",1.86831061367848e-14,-1.14123002043909,0.057,0.249,1.6717643371195e-10
"Tb927.11.12240",1.87639493688058e-14,-0.752329265781278,0.117,0.342,1.67899818952075e-10
"Tb927.8.3480",1.88176154452647e-14,-1.19477359068432,0.095,0.302,1.68380023004229e-10
"Tb927.8.3180",1.88392746888528e-14,-1.9062334231301,0.032,0.206,1.68573829915855e-10
"Tb927.11.1550",1.92392457515915e-14,-1.53484895819354,0.04,0.223,1.7215277098524e-10
"Tb927.9.1350",1.9262298052127e-14,-0.796191959727863,0.14,0.374,1.72359042970432e-10
"Tb927.4.1680",1.9377803902259e-14,-0.760899285963792,0.138,0.374,1.73392589317413e-10
"Tb927.10.9400",1.93996564448197e-14,-1.62768655876556,0.043,0.224,1.73588125868247e-10
"Tb927.8.6250",1.97474427288215e-14,-0.703447810004656,0.112,0.333,1.76700117537495e-10
"Tb927.11.9210",1.99319233764728e-14,-1.56063419846883,0.034,0.211,1.78350850372678e-10
"Tb927.2.2950",2.0613145416972e-14,-1.13294643467881,0.069,0.269,1.84446425191066e-10
"Tb927.3.770",2.07354306751778e-14,-0.931518755895777,0.092,0.302,1.85540633681491e-10
"Tb927.11.11340",2.08517795066877e-14,-1.3321008641136,0.06,0.248,1.86581723025841e-10
"Tb927.8.5730",2.09404031865557e-14,-1.22582262098433,0.066,0.262,1.873747277133e-10
"Tb927.5.3020",2.14248509313978e-14,-1.63251365042775,0.052,0.235,1.91709566134147e-10
"Tb927.9.12090",2.21722000818888e-14,-0.929755040696566,0.089,0.295,1.98396846332741e-10
