,group,names,scores,logfoldchanges,pvals,pvals_adj
166,trypomast_0,C4B63_48g159,9.582378,0.9681123,9.483501712893629e-22,1.4529672974324328e-17
167,trypomast_0,C4B63_26g214,9.566481,0.73296,1.1060687133114868e-21,1.6946078756645287e-17
168,trypomast_0,C4B63_83g79,9.513807,0.9444986,1.838094482750631e-21,2.816144557022242e-17
170,trypomast_0,C4B63_2g49,9.4103365,0.6879282,4.945515391244296e-21,7.577024130925386e-17
171,trypomast_0,C4B63_41g197,9.347468,0.65751666,8.97707898854647e-21,1.3753782718352048e-16
172,trypomast_0,C4B63_39g330,9.307121,0.84142613,1.3134329692471856e-20,2.012310652183613e-16
173,trypomast_0,C4B63_75g48,9.303662,0.96214527,1.356897661710153e-20,2.0789029075061255e-16
174,trypomast_0,C4B63_80g7,9.27684,0.7526782,1.7457893148786664e-20,2.674723809325605e-16
175,trypomast_0,C4B63_13g189,9.268348,0.78674465,1.890509156278058e-20,2.8964490783336124e-16
176,trypomast_0,C4B63_93g76,9.265224,1.119615,1.946681910715643e-20,2.982511355407437e-16
177,trypomast_0,C4B63_43g134,9.257958,0.8266837,2.0837808402412398e-20,3.1925606253336034e-16
178,trypomast_0,C4B63_297g15,9.205793,1.2209091,3.391549748477998e-20,5.196193369643141e-16
179,trypomast_0,C4B63_81g67,9.168618,1.4759481,4.7912021118482385e-20,7.340600755562686e-16
180,trypomast_0,C4B63_14g68,9.14526,0.9839308,5.948675973432826e-20,9.113966458896432e-16
181,trypomast_0,C4B63_7g383,9.097489,0.8511985,9.244434593439828e-20,1.416339824060916e-15
182,trypomast_0,C4B63_84g57,9.087752,0.91289026,1.0110758692564134e-19,1.549069339287751e-15
183,trypomast_0,C4B63_7g173,9.067468,1.235861,1.2181560710117355e-19,1.8663369163970798e-15
184,trypomast_0,C4B63_35g347,9.037229,0.86082953,1.6069347000222147e-19,2.4619846539040353e-15
185,trypomast_0,C4B63_257g3,9.033444,0.7569698,1.663510097482972e-19,2.5486638203536613e-15
186,trypomast_0,C4B63_41g203,9.011601,0.9679209,2.0306955065465214e-19,3.1112285855799253e-15
187,trypomast_0,C4B63_54g173,8.920774,1.0661657,4.630373885551516e-19,7.094195830053478e-15
188,trypomast_0,C4B63_345g11,8.858462,0.9939586,8.112577491931245e-19,1.242927997538786e-14
189,trypomast_0,C4B63_2g765,8.837978,0.85125804,9.746587920381429e-19,1.4932747352816386e-14
190,trypomast_0,C4B63_133g44,8.830663,1.029882,1.0405741281305808e-18,1.5942636217088628e-14
191,trypomast_0,C4B63_49g162,8.77221,1.0951916,1.751932171724033e-18,2.6841352802983906e-14
192,trypomast_0,C4B63_14g220c,8.70897,0.7563218,3.0664767071543053e-18,4.698148963031111e-14
193,trypomast_0,C4B63_58g143,8.699471,0.67503536,3.334328380018923e-18,5.1085245110269916e-14
194,trypomast_0,C4B63_14g560c,8.647895,0.88396424,5.2458053187318394e-18,8.037098328829051e-14
195,trypomast_0,C4B63_114g25,8.546903,0.71656495,1.2643580455828395e-17,1.9371229616374683e-13
196,trypomast_0,C4B63_3g1120,8.533147,0.6130118,1.4241936318883406e-17,2.1820070634161267e-13
197,trypomast_0,C4B63_4g1330c,8.532379,0.7115627,1.4336879330482576e-17,2.1965532822232355e-13
198,trypomast_0,C4B63_7g385,8.469518,1.0602392,2.4641103222902683e-17,3.77526342478092e-13
199,trypomast_0,C4B63_4g178,8.452372,0.72002685,2.854452752370445e-17,4.373307061906759e-13
200,trypomast_0,C4B63_8g476,8.406397,1.10662,4.22798104869277e-17,6.477689764702193e-13
201,trypomast_0,C4B63_83g73,8.3888035,0.94925284,4.9111605324422165e-17,7.52438905175472e-13
202,trypomast_0,C4B63_28g64,8.38258,0.8655554,5.177987648176735e-17,7.933194875771576e-13
203,trypomast_0,C4B63_48g168,8.360225,0.6556282,6.259904511151231e-17,9.590799701534801e-13
204,trypomast_0,C4B63_75g47,8.339953,0.80173886,7.431955581746096e-17,1.1386499146793194e-12
205,trypomast_0,C4B63_18g230,8.327486,0.9335516,8.257699902282297e-17,1.2651622020286708e-12
206,trypomast_0,C4B63_51g842c,8.301718,1.0275961,1.0261676445791919e-16,1.5721914482597798e-12
207,trypomast_0,C4B63_20g10,8.194214,0.8011316,2.5223645702472213e-16,3.864514758075768e-12
208,trypomast_0,C4B63_42g170,8.189679,1.1138762,2.619235653593591e-16,4.012930944870741e-12
209,trypomast_0,C4B63_26g202,8.189434,0.65144366,2.624579388386639e-16,4.0211180809471695e-12
210,trypomast_0,C4B63_113g35,8.148597,1.5445805,3.6817153360716317e-16,5.640756066395347e-12
211,trypomast_0,C4B63_58g70,8.141565,0.97181076,3.9019881634955575e-16,5.978236065291544e-12
212,trypomast_0,C4B63_2g1604c,8.125837,0.68542236,4.442861455448089e-16,6.806908035892018e-12
213,trypomast_0,C4B63_63g16,7.9927917,0.71016884,1.3191692088675427e-15,2.021099144905962e-11
214,trypomast_0,C4B63_2g1505c,7.988971,1.2795548,1.3606933195949225e-15,2.0847182349513807e-11
215,trypomast_0,C4B63_2g354,7.9446816,1.1328051,1.9468981833885994e-15,2.982842706769673e-11
216,trypomast_0,C4B63_11g67,7.940887,0.5917638,2.0074090993782243e-15,3.0755514811573777e-11
217,trypomast_0,C4B63_9g235,7.9257603,0.578732,2.2675438900304885e-15,3.474103993915711e-11
218,trypomast_0,C4B63_24g191,7.920183,0.6357494,2.3716087546954896e-15,3.63354177306896e-11
219,trypomast_0,C4B63_24g185,7.914992,0.5892238,2.472690100966426e-15,3.788408503690661e-11
220,trypomast_0,C4B63_20g208,7.896662,0.7851731,2.864713872583792e-15,4.389028124185628e-11
221,trypomast_0,C4B63_121g2,7.8888197,0.946269,3.050584628644668e-15,4.673800709546496e-11
222,trypomast_0,C4B63_4g68,7.873816,0.6132754,3.4398528567235415e-15,5.270198561786138e-11
223,trypomast_0,C4B63_143g27,7.817625,0.9585675,5.3829213764541926e-15,8.247173840865468e-11
224,trypomast_0,C4B63_20g180,7.7431083,0.7824153,9.7015363848846e-15,1.4863723895281695e-10
225,trypomast_0,C4B63_143g25,7.7056913,0.864205,1.301370675971326e-14,1.9938300126556686e-10
226,trypomast_0,C4B63_42g80,7.6890497,1.0040159,1.4823195757690972e-14,2.2710618220358338e-10
227,trypomast_0,C4B63_24g1406c,7.679082,1.2887286,1.6023257093516634e-14,2.4549232192976837e-10
228,trypomast_0,C4B63_49g79,7.675918,0.69610626,1.642378204644209e-14,2.5162876473353924e-10
229,trypomast_0,C4B63_12g346,7.595532,0.58668804,3.065305080887172e-14,4.696353914427236e-10
230,trypomast_0,C4B63_20g747c,7.5809035,1.0962923,3.4315676099335594e-14,5.257504735179207e-10
231,trypomast_0,C4B63_9g263,7.5802865,0.77136606,3.447923988264548e-14,5.282564342420114e-10
232,trypomast_0,C4B63_81g43,7.5735044,0.9426665,3.632881526491828e-14,5.56593778673813e-10
233,trypomast_0,C4B63_13g332,7.566845,1.0046295,3.8239767411817636e-14,5.85871476516458e-10
234,trypomast_0,C4B63_56g86,7.547447,1.120517,4.4387172477058286e-14,6.8005586952101e-10
235,trypomast_0,C4B63_47g93,7.5349293,1.1759865,4.885994182583027e-14,7.485831687135455e-10
